paper,year,venue,task,dataset,representation,global/local,key invariance,alignment,retrieval architecture,training objective,evaluation,reported results,computational considerations,relevance,novelty overlap,important limitation,verification
Affolter et al. — LIVI,2026,ECIR,cover retrieval,"Covers80, Discogs-VI, others",lyrics-aligned audio embeddings,global + local (MaxSim),n/a (lyrics),MaxSim late interaction,two-stage: track embeddings then MaxSim re-ranking,alignment to lyrics text space,"HR@1, MAP@10",MaxSim improves over global cosine,scalable,closest prior art to global + window fusion,late-interaction re-ranking is NOT new,re-ranking may be arXiv-only,S
Khattab & Zaharia — ColBERT,2020,SIGIR,text retrieval,MS MARCO etc.,BERT token vectors,multi-vector,n/a,MaxSim late interaction,multi-vector retrieval,contrastive,MRR@10,,late interaction efficiency,origin of MaxSim late interaction,,,S
Aucouturier & Pachet — scale-free false positives,2008,Pattern Recognition,audio similarity,music collections,timbre features,global,n/a,n/a,NN,n/a,hub statistics,hubs dominate false positives,,hubness in audio similarity,hubness prior art,,C
Radovanović et al. — Hubs in space,2010,JMLR,ML theory,various,any,n/a,n/a,n/a,k-NN,n/a,k-occurrence skew,hubness from dimensionality,,hubness mechanism,,,S
Schnitzer et al. — Local and global scaling,2012,JMLR,hubness reduction,various,any,n/a,n/a,n/a,k-NN,n/a,,mutual proximity reduces hubs,,hubness correction,,,S
Conneau et al. — CSLS,2018,ICLR,word translation,bilingual lexicons,word vectors,global,n/a,n/a,NN,adversarial + Procrustes,precision@1,CSLS reduces hubness,,our correction is a candidate-side CSLS-style term,correction is NOT new,,C
Bogolin et al. — QB-Norm,2022,CVPR,cross-modal retrieval,video/text benchmarks,learned,global,n/a,n/a,NN + querybank normalisation,n/a,R@1,gains from probe-bank normalisation,querybank cost,"probe-based normalisation, closest to our probe reference",probe-based correction is NOT new,,C
Li & Chen — two-level fusion + post-processing,2018,Applied Sciences,CSI,CSI collections,chroma,global/local,OTI,alignment + fusion,exhaustive,n/a,MAP,mutual proximity reduces hubness in CSI,,hubness in CSI,CSI hubness correction is NOT new,,C
Hu & Chen — enhanced feature summarizing,2019,IEEE/ACM TASLP,CSI,CSI collections,chroma,local summaries,OTI,n/a,exhaustive,n/a,MAP,hubness reduction at summarisation,,hubness in CSI,,,C
Seo — hubness-score similarity normalisation,2022,IEICE Trans.,CSI,two datasets,chroma,local,OTI,alignment,exhaustive,n/a,MAP,normalising alignment similarity by hubness improves accuracy,,closest CSI precedent for our correction,our correction is NOT new,,C
"Wang, Lin, Metzler — cascade ranking",2011,SIGIR,text retrieval,TREC,n/a,n/a,n/a,n/a,cascade,learned cascade,effectiveness vs cost,,cascade efficiency,multi-stage trade-off framing,cascades are NOT new,,S
"Culpepper, Clarke, Lin — dynamic cutoff prediction",2016,ADCS,text retrieval,TREC,n/a,n/a,n/a,n/a,multi-stage with per-query depth,learned cutoff,effectiveness vs cost,,per-query depth,direct precedent for adaptive K (our E1),adaptive K is NOT new,,S
Jacob et al. — Drowning in documents,2024,arXiv,text reranking,BEIR etc.,LLM/cross-encoder,n/a,n/a,n/a,retrieve then rerank at growing depth,n/a,nDCG,rerankers degrade with depth,reranker compute scaling,precedent for our falling reranker efficiency (B1),phenomenon known in IR,,S
Hachmeier & Jäschke — robustness on YouTube covers,2025,iConference,VI robustness,YouTube covers,audio,global,learned,none,embedding,n/a,MAP,SOTA models drop on YouTube covers,,benchmark representativeness,,,S
Araz et al. — unified track and version identification,2026,arXiv,TI + VI benchmark,multiple,audio,global,learned,none,embedding,n/a,accuracy + robustness,no model both accurate and robust on both tasks,,current benchmark context,,,S
Field & Welsh — bootstrapping clustered data,2007,JRSS-B,statistics,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,cluster bootstrap properties,,justifies work-level resampling,,,S
