citation,year,verification,task,dataset,representation,global_or_local,alignment,key_invariance,retrieval_architecture,computational_strategy,reported_metric,limitation,relevance,novelty_implication
"Araz, Serra, Bogdanov. Discogs-VI: a musical version identification dataset based on public editorial metadata. ISMIR",2024,S,dataset + model,"Discogs-VI (493k versions / 98k cliques); SHS100K, Da-TACOS",CQT,global,none,learned,single-stage,,2nd in MIREX 2024; competitive on SHS100K/Da-TACOS,,open reproducible strong baseline; data scale,data scale dwarfs this project's
Affolter et al. Scalable music cover retrieval using lyrics-aligned audio embeddings (LIVI). ECIR,2026,S,CSI,(see paper),audio embeddings aligned to lyrics,global + local (30 s),MaxSim late interaction,implicit,TWO-STAGE: global retrieval then MaxSim rerank over local embeddings,candidate retrieval + local rerank,on par with or better than harmonic systems (search snippet),lyrics supervision at training,direct precedent for windowed multi-vector reranking,"F1 win_max is a MaxSim variant, not new"
"Khattab, Zaharia. ColBERT: efficient and effective passage search via contextualized late interaction over BERT. SIGIR",2020,S,text retrieval,MS MARCO etc.,token embeddings,multi-vector,MaxSim late interaction,n/a,multi-vector retrieval,precomputed document vectors,,,origin of MaxSim,late interaction not new
"Aucouturier, Pachet. A scale-free distribution of false positives for a large class of audio similarity measures. Pattern Recognition",2008,R,audio similarity,,timbre features,global,,,,,hubs recur regardless of query,,origin of hubness in MIR,hubness known
"Radovanović, Nanopoulos, Ivanović. Hubs in space. JMLR",2010,R,nearest neighbours,,,,,,,,hubness from high dimensionality,,mechanism,hubness known
"Schnitzer, Flexer, Schedl, Widmer. Local and global scaling reduce hubs in space. JMLR",2012,R,hub reduction,,,,,,,"mutual proximity, local scaling",,,hub-reduction methods,correction methods known
Seo. Pairwise similarity normalization based on a hubness score for improving cover song retrieval accuracy. IEICE,2022,R,CSI hubness,"covers80, in-house 1k",CLP/CREMA chroma,frame level,OTI + Smith-Waterman,OTI,exhaustive,,+3-6 MAP points; lambda swept on evaluation sets,small data; no held-out calibration,closest prior work to the repo's hub correction,hub correction for CSI is prior art
"Li, Chen. A robust CSI system with two-level similarity fusion and post-processing. Applied Sciences",2018,R,CSI,"covers80, covers40, SHS",multiple,,,,,mutual proximity after fusion,,,hub reduction in CSI,prior art
"Hu, Chen. Enhanced feature summarizing for effective cover song identification (SuCo). IEEE/ACM TASLP",2019,R/S,CSI,,,subsequence communities,,,,hubness reduction,,,hub reduction in CSI,prior art
Conneau et al. Word translation without parallel data (CSLS). ICLR,2018,R,cross-lingual retrieval,,,,,,,CSLS normalisation,,,probe/neighbourhood normalisation,repo's correction is CSLS-like
Bogolin et al. Cross modal retrieval with querybank normalisation. CVPR,2022,R,cross-modal retrieval,,,,,,,querybank normalisation,,,probe-set normalisation,repo's probe reference is QB-Norm-like
"Wang, Lin, Metzler. A cascade ranking model for efficient ranked retrieval. SIGIR",2011,S,text retrieval,,,,,,cascade of rankers,progressive pruning,,,cascade framing,multi-stage efficiency is established IR
"Culpepper, Clarke, Lin. Dynamic cutoff prediction in multi-stage retrieval systems. ADCS",2016,S,text retrieval,,,,,,multi-stage,per-query candidate-set size prediction,,,direct precedent for adaptive K,adaptive K is NOT novel as a method
Ranked list truncation for large language model-based re-ranking. SIGIR,2024,S,text retrieval,,,,,,retrieve then LLM rerank,per-query rerank depth,,,adaptive rerank depth,adaptive depth is current IR practice
